"Glottocode","ISO","Lect","lon","lat","Family","Type","Author","Year","Title","Publisher","School","Booktitle","Editor","Journal","Pages","Volume","Number","Edition","Phoneme","Tone","Onset","Nucleus","Coda","Note"
"aoua1234","aou","A'ou",105.85,26.8,"Tai-Kadai","BOOK","Li, Xia and Li, Jinfang and Luo, Yongxian","2014","A Grammar of Zoulei (Southwest China)","Peter Lang",,,,,,,,,"p t k q ʔ pʰ tʰ kʰ qʰ d t͡s t͡ɕ t͡sʰ t͡ɕʰ m n ŋ l ɭ f s ɬ ɕ χ h v z ʑ ɣ ʁ w j a e i ɯ ɔ u ɤ ə o","55 33 13 31","p t k q ʔ pʰ tʰ kʰ qʰ d t͡s t͡ɕ t͡sʰ t͡ɕʰ m n ŋ l ɭ f s ɬ ɕ χ h v z ʑ ɣ ʁ w j pl bl vl ml","a e i z ɔ u ai ei ui əu aɯ əɯ iu ɤu ia ie iɔ ua iau iəɯ iəu uai uau uəɯ uei","# n ŋ",
"abaz1241","abq","Abaza",42,44.25,"Abkhaz-Adyge","INCOLLECTION","Lomtatidze, Ketevan and Klychev, Rauf","1989","Abaza","Caravan Books",,"The indigenous languages of the Caucasus","Hewitt, B. George",,"89--154",,,"1","b p pʼ d t tʼ d͡z t͡s t͡sʼ d͡ʑ t͡ɕ t͡ɕ d͡ʑʷ t͡ɕʷ t͡ɕʼʷ d͡ʒ t͡ʃ t͡ʃʼ ɡ k kʼ ɡʲ kʲ kʼʲ ɡʷ kʷ kʼʷ q qʼ qʼʲ qʷ qʼʷ ʔ f z s ʑ ɕ ʒ ʃ ʑʷ ɕʷ ɣ x ɣʲ xʲ ɣʷ xʷ ʕ ħ ʕʷ ħʷ m n l w j r v fʼ ʟ t͡ɬ t͡ɬʼ ç çʷ ə a","-","?","?","?","``Lamino-post-alveolar'' and ``apico-palatal'' are interpreted as alveolo-palatal and palato-alveolar, respectively. ``Fronted dorso-velar'' is interpreted as palatalized velar. The ``[d]orso-palatal voiced lateral fricative'' is transcribed as <ʟ>."
"abkh1244","abk","Abkhaz",41.159115,43.056218,"Abkhaz-Adyge","BOOK","Chirikba, Viacheslav","2003","Abkhaz","Lincom Europa",,,,,,,,,"b p pˀ m w v f d t tˀ d̪ʷ t̪ʷ t̪ˀʷ d̪͡z̪ t̪͡s̪ t̪͡s̪ˀ d̪͡z̪ʷ t̪͡s̪ʷ t̪͡w̪ˀʷ z̪ s̪ n̪ r̪ d͡z t͡s t͡sˀ d͡zʲ t͡sʲ t͡sˀʲ z s zʷ sʷ zʲ sʲ j jʷ l ɡ k kˀ ɡʷ kʷ kˀʷ ɡʲ kʲ kˀʲ qˀ qˀʷ qˀʲ ɣ x ɣʷ xʷ ɣʲ xʲ ħ ħʷ ə a","-","?","?","?",
"adyg1241","ady","Adyghe",39.33,44,"Abkhaz-Adyge","BOOK","Smeets, Henricus Joannes","1984","Studies in West Circassian phonology and morphology","Hakuchi Press",,,,,,,,,"p b pˀ pˀʷ f fʷ m w t d tˀ tˀʷ t͡s d͡z t͡sˀ s z s n t͡ɕʷ d͡ʑʷ ɕ ʑ ɕˀ ɕʷ ʑʷ ɕˀʷ r c͡ç ɟ͡ʝ c͡çˀ ç çˠ ʝ i ɬ ɮ ɬʷ k ɡ kˀ kʷ ɡʷ kˀʷ x ɡ q qʷ χ ɢ χʷ ɢʷ ħ ʔ ʔʷ h ə e a","-","?","ə e a","?",
"akaj1239","akj","Akajeru",92.9504,13.1525,"Great Andamanese","BOOK","Abbi, Anvita","2013","A Grammar of the Great Andamanese Language: An Ethnolinguistic Study","Brill",,,,,,,,,"p b t d ʈ ɖ c j k pʰ tʰ ʈʰ kʰ m n ɲ ŋ r s ʃ l j i u e o ɛ ɔ ɑ ɔː ɑː eː iː oː uː","-","# p b t d ʈ ɖ c j k pʰ tʰ ʈʰ kʰ m n ɲ ŋ r s ʃ l j tr kʰr","i u e o ɛ ɔ ɑ ɔː ɑː eː iː oː uː ia iu io iːo ue iːe iɛ ei eo eɔ ea eu ɛo ɛo ɛi ɛːi ɛo ua uo uɔ ui ue oa oːa oɔ oːɔ ou oi oe oːe oɛ ɔi ɔːe ɔe ɔɛ ɔo ɔa ao aːo aːu au aɛ aːe ae ai aie aou aia aeo eia eoɛ iue ieu ioi oio","# p b t d ʈ ɖ c j k m n ɲ ŋ r s l j",
"amdo1237","adx","Amdo Tibetan",100.485,34.5177,"Sino-Tibetan","BOOK","Ebihara, Shiho","2019","Amudo chibetto go bunpō アムド・チベット語文法 [Amdo Tibetan grammar]","Hitsuji shobō ひつじ書房",,,,,,,,,"p b pʰ t d tʰ ʈ ɖ ʈʰ k ɡ kʰ t͡s d͡z t͡sʰ t͡ɕ d͡ʑ t͡ɕʰ f s z sʰ ʂ ɕ ʑ ç χ ʁ h m n ɲ̟ ŋ l ɹ ɬ w j i y ɛ ɯ ə o ʌ","-","# p b pʰ t d tʰ ʈ ɖ ʈʰ k ɡ kʰ t͡s d͡z t͡sʰ t͡ɕ d͡ʑ t͡ɕʰ f s z sʰ ʂ ɕ ʑ ç χ ʁ h m n ɲ̟ ŋ l ɹ ɬ w j nb npʰ nd ntʰ nɖ nʈʰ nɡ nkʰ hp ht hʈ hk nd͡ʑ nt͡ɕʰ nd͡z nt͡sʰ ht͡ɕ ht͡s hm hn hɲ̟ hŋ hl hj kw kʰw pj kj kʰj wj hpj","i y ɛ ɯ ə o ʌ","# p k m n ŋ l ɹ",
"gily1242","niv","Amur Nivkh",140.681,52.59,"Nivkh","BOOK","Ekaterina Gruzdeva","1998","Nivkh","Lincom",,,,,,,,,"i ɨ u e o a b d ɟ ɡ ɢ p t c k q pʰ tʰ cʰ kʰ qʰ m n ɲ ŋ v z ɣ ʁ f s x χ h l j r̥ r","-","# C CC","i ɨ u e o a","# C CC CCC",
"andi1255","ani","Andi",46.2919,42.8078,"Nakh-Daghestanian","BOOK","Salimov Салимов, X. S. Х. С.","2010","Gagatlinskij govor andijskogo jazyka Гагатлинский говор андийского языка [Gagatli dialect of Andi language]","IJALI ИЯЛИ",,,,,,,,,"i u e o a ĩ ũ ẽ õ ã b pʰ pʼ v m d tʰ tʼ z̪ z s̪ s s̪ː sː d͡z t̪͡s̪ t͡s t̪͡s̪ː t͡sː t̪͡s̪ʼ t͡sʼ t̪͡s̪ʼː t͡sʼː n r ɬ ɬː t͡ɬ t͡ɬʼ l ʝ ɡ kʰ kʼ xː k͡xː k͡xʼː ʁ χ χː ɢ͡ʁ q͡χː q͡χʼː ʔ ɦ h hː","-","?","?","?","``Смычно-гортаные'' interpreted as ejective."
"anga1288","njm","Angami Naga",93.8668,25.6841,"Sino-Tibetan","PHDTHESIS","Kuolie, Duovituo","2004","Structural description of Tenyidie: a Tibeto-Burman language of Nagaland",,"Deccan College",,,,,,,,"p b t d k ɡ pʰ tʰ kʰ m n ɲ ŋ m̥ n̥ ɲ̥ f v s z ç ʝ h p͡f b͡v t͡s d͡z c͡ç ɟ͡ʝ p͡fʰ t͡sʰ c͡çʰ l l̥ r r̥ w j w̥ j̥ i u e ə o ɜ a","H F M R L","# p b t d k ɡ pʰ tʰ kʰ m n ɲ ŋ m̥ n̥ ɲ̥ f v s z ç ʝ h p͡f b͡v t͡s d͡z c͡ç ɟ͡ʝ p͡fʰ t͡sʰ c͡çʰ l l̥ r r̥ w j w̥ j̥ pr pʰr kr kʰr","i u e ə o ɜ a ie uo","#",
"aona1235","njo","Ao Naga",94.3824,26.3241,"Sino-Tibetan","BOOK","Coupe, Alexander Robertson","2007","A Grammar of Mongsen Ao","Mouton de Gruyter",,,,,,,,,"p pʰ t tʰ k kʰ t͡s t͡sʰ t͡ʃ t͡ʃʰ m n ŋ m̥ n̥ ŋ̥ z s h w l ɹ j ʍ l̥ ɹ̥ j̥ i u ə a a̰","H M L","# p pʰ t tʰ k kʰ t͡s t͡sʰ t͡ʃ t͡ʃʰ m n ŋ m̥ n̥ ŋ̥ z s h w l ɹ j ʍ l̥ ɹ̥ j̥","i u ə a a̰ Vw Vj","# p t k m n ŋ ɹ",
